antibody,metric,value
S2E12,MLV_IC50,11
S2X58,MLV_IC50,30
S2H58,MLV_IC50,13
S2D106,MLV_IC50,33
S2X227,MLV_IC50,32
S2X16,MLV_IC50,6
S304,MLV_IC50,5000
S309,MLV_IC50,150
S2X35,MLV_IC50,92
S2X259,MLV_IC50,92
S2H97,MLV_IC50,NA
S2H13,MLV_IC50,500
S2H14,MLV_IC50,900
S2E12,VSV_IC50,2
S2X58,VSV_IC50,4.3
S2H58,VSV_IC50,6.1
S2D106,VSV_IC50,4.3
S2X227,VSV_IC50,5.3
S2X16,VSV_IC50,8.1
S304,VSV_IC50,9404.7
S309,VSV_IC50,31.1
S2X35,VSV_IC50,96.2
S2X259,VSV_IC50,106.1
S2H97,VSV_IC50,337.6
S2H13,VSV_IC50,637.6
S2H14,VSV_IC50,1274
S2E12,SARS2_IC50,4.5
S2X58,SARS2_IC50,13.1
S2H58,SARS2_IC50,9
S2D106,SARS2_IC50,3.9
S2X227,SARS2_IC50,11.2
S2X16,SARS2_IC50,9.2
S304,SARS2_IC50,14412
S309,SARS2_IC50,78.9
S2X35,SARS2_IC50,179.4
S2X259,SARS2_IC50,159.5
S2H97,SARS2_IC50,748.7
S2H13,SARS2_IC50,435.3
S2H14,SARS2_IC50,1130.3
S2E12,RBD_SPR_nM,1.6
S2X58,RBD_SPR_nM,0.2
S2H58,RBD_SPR_nM,1.1
S2D106,RBD_SPR_nM,0.05
S2X227,RBD_SPR_nM,0.4
S2X16,RBD_SPR_nM,9.6
S304,RBD_SPR_nM,1.1
S309,RBD_SPR_nM,0.3
S2X35,RBD_SPR_nM,0.2
S2X259,RBD_SPR_nM,0.08
S2H97,RBD_SPR_nM,0.03
S2H13,RBD_SPR_nM,149
S2H14,RBD_SPR_nM,75
S2E12,breadth,0.25
S2X58,breadth,0.125
S2H58,breadth,0.125
S2D106,breadth,0.125
S2X227,breadth,0.125
S2X16,breadth,0.125
S304,breadth,0.71875
S309,breadth,0.5
S2X35,breadth,0.5625
S2X259,breadth,0.75
S2H97,breadth,0.90625
S2H13,breadth,0.125
S2H14,breadth,0.0625
REGN10933,breadth,0.167
REGN10987,breadth,0.167
LY-CoV016,breadth,0.25
CR3022,breadth,0.5
COV2-2677,breadth,0.08333
COV2-2082,breadth,0.5
COV2-2094,breadth,0.5
COV2-2165,breadth,0.25
COV2-2832,breadth,0.167
COV2-2479,breadth,0.167
COV2-2050,breadth,0.167
COV2-2096,breadth,0.08333
COV2-2499,breadth,0.167
COV2-2196,breadth,0.25
COV2-2130,breadth,0.0625
LY-CoV555,breadth,0.167
CR3022,Zost_IC50,NA
COV2-2677,Zost_IC50,1618
COV2-2082,Zost_IC50,204
COV2-2094,Zost_IC50,154
COV2-2165,Zost_IC50,332
COV2-2832,Zost_IC50,70
COV2-2479,Zost_IC50,48
COV2-2050,Zost_IC50,80
COV2-2096,Zost_IC50,59
COV2-2499,Zost_IC50,27
COV2-2196,Zost_IC50,15
COV2-2130,Zost_IC50,107
S2D106,number_MARMS,4
S2E12,number_MARMS,4
S2H13,number_MARMS,NA
S2H14,number_MARMS,NA
S2H58,number_MARMS,7
S2H97,number_MARMS,NA
S2X16,number_MARMS,4
S2X227,number_MARMS,5
S2X259,number_MARMS,1
S2X35,number_MARMS,7
S2X58,number_MARMS,13
S304,number_MARMS,NA
S309,number_MARMS,NA